id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
188,海边的曼彻斯特,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,美国,2016, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,8.6,我们都有权利不与自己的过去和解。,剧情/家庭,
189,二十二,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,中国大陆,2015, 郭柯 Ke Guo,,8.7,有一些东西不应该被遗忘。,纪录片,
190,虎口脱险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,法国 英国,1966, 杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès...,8.9,永远看不腻的喜剧。,喜剧/战争,
191,房间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,爱尔兰 加拿大 英国 美国,2015, 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,剧情/家庭,
192,恐怖游轮,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,英国 澳大利亚,2009, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,8.5,不要企图在重复中寻找已经失去的爱。,剧情/悬疑/惊悚,
193,雨中曲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,美国,1952, 斯坦利·多南 Stanley Donen, 斯坦利·多南 Stanley Donen,9.0,骨灰级歌舞片。,喜剧/歌舞/爱情,
194,人工智能,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,美国,2001, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley...,8.6,对爱的执着，可以超越一切。,冒险/剧情/科幻,
195,魔女宅急便,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,日本,1989, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama,8.6,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,动画/奇幻/冒险,
196,惊魂记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,美国,1960, 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho...,9.0,故事的反转与反转，分裂电影的始祖。,悬疑/惊悚/恐怖,
197,奇迹男孩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,美国 中国香港,2017, 斯蒂芬·卓博斯基 Stephen Chbosky, 雅各布·特伦布莱 Jacob Tr...,8.6,世界不完美，爱会有奇迹。,剧情/儿童/家庭,
198,疯狂的石头,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,中国大陆 中国香港,2006, 宁浩 Hao Ning, 郭涛 Tao Guo,8.4,中国版《两杆大烟枪》。,喜剧/犯罪,
199,海洋,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg,法国 瑞士 西班牙 美国 阿联酋,2009, 雅克·贝汉 Jacques Perrin, 雅克·贝汉 Jacques Perrin,9.1,大海啊，不全是水。,纪录片,
200,罗生门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2564689879.jpg,日本,1950, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune,8.8,人生的N种可能性。,剧情/犯罪/悬疑,
201,终结者2：审判日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,美国 法国,1991, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,8.7,少见的超越首部的续集，动作片中的经典。,动作/科幻,
202,燃情岁月,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,美国,1994, 爱德华·兹威克 Edward Zwick, 布拉德·皮特 Brad Pitt,8.8,传奇，不是每个人都可以拥有。,剧情/爱情/战争/西部,
203,爱在午夜降临前,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,美国 希腊,2013, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,剧情/爱情,
204,魂断蓝桥,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,美国,1940, 茂文·勒鲁瓦 Mervyn LeRoy, 费雯·丽 Vivien Leigh,8.8,中国式内在的美国电影。,剧情/爱情/战争,
