id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
41,剩女 Leftover Women,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555305974.jpg,以色列,2019,希拉·梅达利亚 / 肖什·莎赫拉姆,Qiu HauMei / Xu Min / Gai Qi,7.7,,纪/录/片,
42,真相与正义 Tõde ja õigus,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2549029529.jpg,爱沙尼亚,2019,塔内尔·托奥姆,普里特·鲁格 / Ester Kuntu / 普里特·沃伊马斯特,7.8,,剧/情,
43,罗马：幕后纪实 Camino a Roma,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2585822823.jpg,墨西哥,2020,Andres Clariond / Gabriel Nuncio,阿方索·卡隆,8.7,,纪/录/片,
44,吹响悠风号剧场版：誓言的终章 劇場版 響け！ユーフォニアム～誓いのフィナーレ～,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2590346161.jpg,日本,2019,石原立也,黑泽朋世 / 朝井彩加 / 丰田萌绘,9.2,,动/画,
45,安尼亚拉号 Aniara,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549882330.jpg,瑞典/丹麦,2018,Hugo Lilja / Pella Kagerman,Arvin Kananian / 艾米莉·强森 / Jamil Drissi,7.1,,剧/情/ /// /科/幻,
46,与爱同居之永恒的爱 TharnType Special: Everlasting Love,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2587583674.jpg,泰国,2020,Tee Sintanaparadee,苏帕西·宗澈瓦 / 卡纳吾·翟彼帕塔纳朋 / 坦纳永·王特拉库,8.4,,爱/情/ /// /同/性/ /// /家/庭,
47,面包工厂，第一部分 A Bread Factory, Part One,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2538205334.jpg,美国,2018,王沛智,泰恩·黛莉 / 詹姆斯·马斯特斯 / Elisabeth Henry-Macari,7.4,,剧/情/ /// /喜/剧,
48,面包工厂，第二部分 A Bread Factory, Part Two,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2538029827.jpg,美国,2018,王沛智,杰西卡·皮蒙特尔 / 娜娜·维西特 / 詹姆斯·马斯特斯,7.4,,,
49,皇后与瘦子 Queen & Slim,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572379837.jpg,加拿大/美国,2019,梅丽娜·马苏卡斯,朱迪·特纳-史密斯 / 丹尼尔·卡卢亚 / 茵蒂娅·摩尔,7.1,,剧/情,
50,回忆录：异形起源故事 Memory: The Origins of Alien,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571351056.jpg,美国,2019,亚历山大·欧-菲利普,维罗尼卡·卡维特 / 罗杰·克里斯蒂安 / 罗杰·科曼,7.7,,纪/录/片,
51,无名大师 Tuntematon mestari,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2576170928.jpg,芬兰,2018,克劳斯·哈洛,海奇·诺西艾南 / 皮霍·朗卡 / 佩尔蒂·斯维霍姆,7.6,,剧/情,
52,温德米尔儿童 The Windermere Children,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2582275464.jpg,英国,2020,迈克尔·塞缪尔斯,伊恩·格雷 / 萝玛拉·嘉瑞 / 托马斯·克莱舒曼,7.3,,剧/情/ /// /战/争,
53,遗愿清单 最高の人生の見つけ方,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555841251.jpg,日本,2019,犬童一心,吉永小百合 / 天海祐希 / 前川清,7.2,,剧/情/ /// /喜/剧/ /// /冒/险,
54,致我的陌生恋人 Mon inconnue,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549550925.jpg,法国/比利时,2019,雨果·热兰,弗朗索瓦·西维尔 / 约瑟芬·约比 / 本杰明·拉维赫尼,7.1,,喜/剧/ /// /爱/情,
55,南山的部长们 남산의 부장들,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581888792.jpg,韩国,2020,禹民镐,李秉宪 / 李星民 / 郭度沅,8.1,,剧/情,
56,疫情会扩大到何种程度紧急报告新冠肺炎 NHKスペシャル 感染はどこまで拡がるのか～緊急報告 新型ウイルス肺炎～,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2586686437.jpg,日本,2020,,,7.7,,纪/录/片,
57,维塔利娜·瓦雷拉 Vitalina Varela,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575370579.jpg,葡萄牙,2019,佩德罗·科斯塔,维塔利娜·瓦雷拉 / 文图拉 / 曼努埃尔·塔瓦雷斯·阿尔梅达,7.4,,剧/情,
58,内心之光 Das Innere Leuchten,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2548254406.jpg,德国,2019,斯蒂芬·西克,,7.6,,纪/录/片,
59,马蒂亚斯与马克西姆 Matthias & Maxime,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2557421426.jpg,加拿大,2019,泽维尔·多兰,泽维尔·多兰 / 哈里斯·迪金森 / 加布里埃尔·德阿尔梅达·弗雷塔斯,7.3,,剧/情/ /// /同/性,
60,女孩的战地滑板课 Learning to Skateboard in a Warzone (If You're a Girl),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2576507028.jpg,英国,2019,Carol Dysinger,,8.0,,纪/录/片/ /// /短/片/ /// /运/动,
61,基督圣体 Boże Ciało,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567988621.jpg,波兰,2019,扬·科马萨,巴托斯·比莱尼亚 / 亚历山德拉·康涅兹娜 / 伊莱扎·莱辛姆波,7.7,,剧/情,
62,洞穴里的医院 The Cave,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573695751.jpg,叙利亚/丹麦/德国/卡塔尔/美国,2019,菲拉斯·法耶德,Amani Ballour / Salim Namour,7.5,,纪/录/片,
63,布努埃尔在神龟迷宫中 Buñuel en el laberinto de las tortugas,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572875191.jpg,西班牙/荷兰/德国,2018,萨尔瓦多·西莫,豪尔赫·乌松 / Fernando Ramos / Luis Enrique de Tomás,7.6,,剧/情/ /// /传/记/ /// /历/史/ /// /动/画,
64,美利坚女士 Taylor Swift: Miss Americana,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2580967404.jpg,美国,2020,拉娜·威尔森,泰勒·斯威夫特 / 乔·阿尔文 / 安德里亚·斯威夫特,8.7,,纪/录/片,
65,37秒 37セカンズ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584548271.jpg,日本,2019,宮崎光代,佳山明 / 神野三铃 / 大东骏介,7.4,,剧/情,
66,勿忘我 Mémorable,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577457994.jpg,法国,2019,布鲁诺·科莱特,多米尼克·雷蒙 / 安德烈·维尔姆斯,8.5,,动/画/ /// /短/片,
67,宝贝男孩 Honey Boy,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2568099437.jpg,美国,2019,阿尔玛·哈勒,希亚·拉博夫 / 卢卡斯·赫奇斯 / 诺亚·尤佩,7.1,,剧/情,
68,正义的慈悲 Just Mercy,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2577145347.jpg,美国,2019,德斯汀·克里顿,杰米·福克斯 / 迈克尔·哈丁 / 克里斯·乔丹·沃尔,7.7,,剧/情,
69,对不起，我们错过了你 Sorry We Missed You,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572138412.jpg,英国/法国/比利时,2019,肯·洛奇,克里斯·希钦 / 黛比·哈尼伍德 / 瑞斯·斯通,8.4,,剧/情/ /// /家/庭,
70,浪潮 Waves,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570438369.jpg,加拿大/美国,2019,特里·爱德华·沙尔茨,小凯文·哈里森 / 卢卡斯·赫奇斯 / 泰勒·拉塞尔,6.9,,剧/情/ /// /爱/情,
71,黑水 Dark Waters,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2569450232.jpg,美国,2019,托德·海因斯,马克·鲁弗洛 / 安妮·海瑟薇 / 蒂姆·罗宾斯,8.5,,剧/情,
72,1917,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587146023.jpg,美国/英国/印度/西班牙/加拿大,2019,萨姆·门德斯,乔治·麦凯 / 迪恩·查尔斯·查普曼 / 科林·费尔斯,8.5,,剧/情/ /// /战/争,
73,阳光普照 陽光普照,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570235120.jpg,中国台湾,2019,钟孟宏,陈以文 / 柯淑勤 / 巫建和,8.4,,剧/情/ /// /犯/罪,
74,洛瑞太太和她的儿子 Mrs Lowry & Son,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2567934617.jpg,英国,2019,阿德里安·诺布尔,瓦妮莎·雷德格瑞夫 / 蒂莫西·斯波 / 史蒂芬·洛德,7.4,,剧/情/ /// /传/记/ /// /历/史,
75,小妇人 Little Women,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575325937.jpg,美国,2019,格蕾塔·葛韦格,西尔莎·罗南 / 艾玛·沃森 / 佛罗伦斯·珀,8.1,,剧/情/ /// /爱/情,
76,理查德·朱维尔的哀歌 Richard Jewell,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578705064.jpg,美国,2019,克林特·伊斯特伍德,保罗·沃尔特·豪泽 / 山姆·洛克威尔 / 凯西·贝茨,8.2,,剧/情,
77,当我们谈论树的时候 Talking About Trees,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2548253699.jpg,法国/苏丹/乍得/德国/卡塔尔,2019,苏哈伊布·加斯梅尔巴里,苏莱曼·易卜拉欣 / 易卜拉欣·沙达德,8.3,,纪/录/片,
